,ID,Date,Grade,Text,Option,Size,ProductNum,FilteredText,Text_Morpheme
467,judo*****,2021.12.19,4,옷이 생각보다 질도 ？I찬아 재 구입합니다.  괜찮아요,0,0,3556338225,생각 보다 질도 구입 합니다 괜찮아요,"[('옷', 'Noun'), ('이', 'Josa'), ('생각', 'Noun'), ('보다', 'Josa'), ('질도', 'Noun'), ('？', 'Foreign'), ('I', 'Alpha'), ('찬', 'Noun'), ('아', 'Josa'), ('재', 'Noun'), ('구입', 'Noun'), ('합니다', 'Verb'), ('.', 'Punctuation'), ('괜찮아요', 'Adjective')]"
468,kara*****,2021.10.19,5,너무 튼튼하고 잘산거같습니다 너무 고맙슴니다 판매자님,0,0,3556338225,너무 튼튼하고 잘산거 같습니다 너무 고맙슴 니 판매,"[('너무', 'Adverb'), ('튼튼하고', 'Adjective'), ('잘산거', 'Verb'), ('같습니다', 'Adjective'), ('너무', 'Adverb'), ('고맙슴니', 'Noun'), ('다', 'Josa'), ('판매', 'Noun'), ('자', 'Noun'), ('님', 'Suffix')]"
469,hatl*****,2021.10.12,4,상품평보고 110~120정도 입는아이 L했는데 올해 잘 입을듯해요,0,0,3556338225,상품 평보 정도 입는아이 했는데 올해 입을듯,"[('상품', 'Noun'), ('평보', 'Noun'), ('고', 'Josa'), ('110~120', 'Number'), ('정도', 'Noun'), ('입는아이', 'Verb'), ('L', 'Alpha'), ('했는데', 'Verb'), ('올해', 'Noun'), ('잘', 'Verb'), ('입을듯', 'Adjective'), ('해', 'Noun'), ('요', 'Josa')]"
470,pico**,2021.11.27,5,제품은 양품로 아주 만족스럽습니다.배송 또한 만족스럽습니다.,0,0,3556338225,제품 양품 아주 만족스럽습니다 배송 만족스럽습니다,"[('제품', 'Noun'), ('은', 'Josa'), ('양품', 'Noun'), ('로', 'Noun'), ('아주', 'Noun'), ('만족스럽습니다', 'Adjective'), ('.', 'Punctuation'), ('배송', 'Noun'), ('또한', 'Noun'), ('만족스럽습니다', 'Adjective'), ('.', 'Punctuation')]"
471,bkbk***,2022.01.02,5,진짜 이거 예쁨... 만족도 200% 다른색상 구매예정,0,0,3556338225,진짜 예쁨 만족도 색상 구매 예정,"[('진짜', 'Noun'), ('이', 'Determiner'), ('거', 'Noun'), ('예쁨', 'Adjective'), ('...', 'Punctuation'), ('만족도', 'Noun'), ('200%', 'Number'), ('다른', 'Modifier'), ('색상', 'Noun'), ('구매', 'Noun'), ('예정', 'Noun')]"
472,gunp*****,2023.01.13,5,두번째 구매입니다. 질도 좋고 편하게 입어요,0,0,3556338225,두번째 구매 입니다 질도 좋고 편하게 입어요,"[('두번째', 'Noun'), ('구매', 'Noun'), ('입니다', 'Adjective'), ('.', 'Punctuation'), ('질도', 'Noun'), ('좋고', 'Adjective'), ('편하게', 'Adjective'), ('입어요', 'Verb')]"
473,glas**,2021.11.15,5,저렴하게 잘샀어요옷감은 세탁해봐야 알듯,0,0,3556338225,저렴하게 샀어요 옷감 세탁 해봐야 알듯,"[('저렴하게', 'Adjective'), ('잘', 'VerbPrefix'), ('샀어요', 'Verb'), ('옷감', 'Noun'), ('은', 'Josa'), ('세탁', 'Noun'), ('해봐야', 'Verb'), ('알듯', 'Verb')]"
474,kji0*****,2021.10.27,5,면이라 쫀쫀해서 좋습니다.사이즈는 큽니다,0,0,3556338225,이라 쫀쫀해 좋습니다 사이즈 큽니다,"[('면', 'Noun'), ('이라', 'Josa'), ('쫀쫀해', 'Noun'), ('서', 'Josa'), ('좋습니다', 'Adjective'), ('.', 'Punctuation'), ('사이즈', 'Noun'), ('는', 'Josa'), ('큽니다', 'Verb')]"
475,bcpl***,2021.11.20,5,미디엄기준 105사이즈 정도. 새탁해도 줄어들지 않아요,0,0,3556338225,미디엄 기준 사이즈 정도 탁해도 줄어들지 않아요,"[('미디엄', 'Noun'), ('기준', 'Noun'), ('105', 'Number'), ('사이즈', 'Noun'), ('정도', 'Noun'), ('.', 'Punctuation'), ('새', 'Noun'), ('탁해도', 'Adjective'), ('줄어들지', 'Verb'), ('않아요', 'Verb')]"
476,aram****,2022.05.09,5,싸고 편하고 좋네요더러우면 버리면 됩니다,0,0,3556338225,싸고 편하고 좋네요 더러우면 버리면 됩니다,"[('싸고', 'Verb'), ('편하고', 'Adjective'), ('좋네요', 'Adjective'), ('더러우면', 'Adjective'), ('버리면', 'Verb'), ('됩니다', 'Verb')]"
